"","Class","Sex","Age","Survived"
"286","2nd","Male","Adult","Died"
"287","2nd","Male","Adult","Died"
"288","2nd","Male","Adult","Died"
"289","2nd","Male","Adult","Died"
"290","2nd","Male","Adult","Died"
"291","2nd","Male","Adult","Died"
"292","2nd","Male","Adult","Died"
"293","2nd","Male","Adult","Died"
"294","2nd","Male","Adult","Died"
"295","2nd","Male","Adult","Died"
"296","2nd","Male","Adult","Died"
"297","2nd","Male","Adult","Died"
"298","2nd","Male","Adult","Died"
"299","2nd","Male","Adult","Died"
"300","2nd","Male","Adult","Died"
"301","2nd","Male","Adult","Died"
"302","2nd","Male","Adult","Died"
"303","2nd","Male","Adult","Died"
"304","2nd","Male","Adult","Died"
"305","2nd","Male","Adult","Died"
"306","2nd","Male","Adult","Died"
"307","2nd","Male","Adult","Died"
"308","2nd","Male","Adult","Died"
"309","2nd","Male","Adult","Died"
"310","2nd","Male","Adult","Died"
"311","2nd","Male","Adult","Died"
"312","2nd","Male","Adult","Died"
"313","2nd","Male","Adult","Died"
"314","2nd","Male","Adult","Died"
"315","2nd","Male","Adult","Died"
"316","2nd","Male","Adult","Died"
"317","2nd","Male","Adult","Died"
"318","2nd","Male","Adult","Died"
"319","2nd","Male","Adult","Died"
"320","2nd","Male","Adult","Died"
"321","2nd","Male","Adult","Died"
"322","2nd","Male","Adult","Died"
"323","2nd","Male","Adult","Died"
"324","2nd","Male","Adult","Died"
"325","3rd","Male","Adult","Died"
"326","3rd","Male","Adult","Died"
"327","3rd","Male","Adult","Died"
"328","3rd","Male","Adult","Died"
"329","3rd","Male","Adult","Died"
"330","3rd","Male","Adult","Died"
"331","3rd","Male","Adult","Died"
"332","3rd","Male","Adult","Died"
"333","3rd","Male","Adult","Died"
"334","3rd","Male","Adult","Died"
"335","3rd","Male","Adult","Died"
"336","3rd","Male","Adult","Died"
"337","3rd","Male","Adult","Died"
"338","3rd","Male","Adult","Died"
"339","3rd","Male","Adult","Died"
"340","3rd","Male","Adult","Died"
"341","3rd","Male","Adult","Died"
"342","3rd","Male","Adult","Died"
"343","3rd","Male","Adult","Died"
"344","3rd","Male","Adult","Died"
"345","3rd","Male","Adult","Died"
"346","3rd","Male","Adult","Died"
"347","3rd","Male","Adult","Died"
"348","3rd","Male","Adult","Died"
"349","3rd","Male","Adult","Died"
"350","3rd","Male","Adult","Died"
"351","3rd","Male","Adult","Died"
"352","3rd","Male","Adult","Died"
"353","3rd","Male","Adult","Died"
"354","3rd","Male","Adult","Died"
"355","3rd","Male","Adult","Died"
"356","3rd","Male","Adult","Died"
"357","3rd","Male","Adult","Died"
"358","3rd","Male","Adult","Died"
"359","3rd","Male","Adult","Died"
"360","3rd","Male","Adult","Died"
"361","3rd","Male","Adult","Died"
"362","3rd","Male","Adult","Died"
"363","3rd","Male","Adult","Died"
"364","3rd","Male","Adult","Died"
"365","3rd","Male","Adult","Died"
"366","3rd","Male","Adult","Died"
"367","3rd","Male","Adult","Died"
"368","3rd","Male","Adult","Died"
"369","3rd","Male","Adult","Died"
"370","3rd","Male","Adult","Died"
"371","3rd","Male","Adult","Died"
"372","3rd","Male","Adult","Died"
"373","3rd","Male","Adult","Died"
"374","3rd","Male","Adult","Died"
"375","3rd","Male","Adult","Died"
"376","3rd","Male","Adult","Died"
"377","3rd","Male","Adult","Died"
"378","3rd","Male","Adult","Died"
"379","3rd","Male","Adult","Died"
"380","3rd","Male","Adult","Died"
"381","3rd","Male","Adult","Died"
"382","3rd","Male","Adult","Died"
"383","3rd","Male","Adult","Died"
"384","3rd","Male","Adult","Died"
"385","3rd","Male","Adult","Died"
"386","3rd","Male","Adult","Died"
"387","3rd","Male","Adult","Died"
"388","3rd","Male","Adult","Died"
"389","3rd","Male","Adult","Died"
"390","3rd","Male","Adult","Died"
"391","3rd","Male","Adult","Died"
"392","3rd","Male","Adult","Died"
"393","3rd","Male","Adult","Died"
"394","3rd","Male","Adult","Died"
"395","3rd","Male","Adult","Died"
"396","3rd","Male","Adult","Died"
"397","3rd","Male","Adult","Died"
"398","3rd","Male","Adult","Died"
"399","3rd","Male","Adult","Died"
"400","3rd","Male","Adult","Died"
"401","3rd","Male","Adult","Died"
"402","3rd","Male","Adult","Died"
"403","3rd","Male","Adult","Died"
"404","3rd","Male","Adult","Died"
"405","3rd","Male","Adult","Died"
"406","3rd","Male","Adult","Died"
"407","3rd","Male","Adult","Died"
"408","3rd","Male","Adult","Died"
"409","3rd","Male","Adult","Died"
"410","3rd","Male","Adult","Died"
"411","3rd","Male","Adult","Died"
"412","3rd","Male","Adult","Died"
"413","3rd","Male","Adult","Died"
"414","3rd","Male","Adult","Died"
"415","3rd","Male","Adult","Died"
"416","3rd","Male","Adult","Died"
"417","3rd","Male","Adult","Died"
"418","3rd","Male","Adult","Died"
"419","3rd","Male","Adult","Died"
"420","3rd","Male","Adult","Died"
"421","3rd","Male","Adult","Died"
"422","3rd","Male","Adult","Died"
"423","3rd","Male","Adult","Died"
"424","3rd","Male","Adult","Died"
"425","3rd","Male","Adult","Died"
"426","3rd","Male","Adult","Died"
"427","3rd","Male","Adult","Died"
"428","3rd","Male","Adult","Died"
"429","3rd","Male","Adult","Died"
"430","3rd","Male","Adult","Died"
"431","3rd","Male","Adult","Died"
"432","3rd","Male","Adult","Died"
"433","3rd","Male","Adult","Died"
"434","3rd","Male","Adult","Died"
"435","3rd","Male","Adult","Died"
"436","3rd","Male","Adult","Died"
"437","3rd","Male","Adult","Died"
"438","3rd","Male","Adult","Died"
"439","3rd","Male","Adult","Died"
"440","3rd","Male","Adult","Died"
"441","3rd","Male","Adult","Died"
"442","3rd","Male","Adult","Died"
"443","3rd","Male","Adult","Died"
"444","3rd","Male","Adult","Died"
"445","3rd","Male","Adult","Died"
"446","3rd","Male","Adult","Died"
"447","3rd","Male","Adult","Died"
"448","3rd","Male","Adult","Died"
"449","3rd","Male","Adult","Died"
"450","3rd","Male","Adult","Died"
"451","3rd","Male","Adult","Died"
"452","3rd","Male","Adult","Died"
"453","3rd","Male","Adult","Died"
"454","3rd","Male","Adult","Died"
"455","3rd","Male","Adult","Died"
"456","3rd","Male","Adult","Died"
"457","3rd","Male","Adult","Died"
"458","3rd","Male","Adult","Died"
"459","3rd","Male","Adult","Died"
"460","3rd","Male","Adult","Died"
"461","3rd","Male","Adult","Died"
"462","3rd","Male","Adult","Died"
"463","3rd","Male","Adult","Died"
"464","3rd","Male","Adult","Died"
"465","3rd","Male","Adult","Died"
"466","3rd","Male","Adult","Died"
"467","3rd","Male","Adult","Died"
"468","3rd","Male","Adult","Died"
"469","3rd","Male","Adult","Died"
"470","3rd","Male","Adult","Died"
"471","3rd","Male","Adult","Died"
"472","3rd","Male","Adult","Died"
"473","3rd","Male","Adult","Died"
"474","3rd","Male","Adult","Died"
"475","3rd","Male","Adult","Died"
"476","3rd","Male","Adult","Died"
"477","3rd","Male","Adult","Died"
"478","3rd","Male","Adult","Died"
"479","3rd","Male","Adult","Died"
"480","3rd","Male","Adult","Died"
"481","3rd","Male","Adult","Died"
"482","3rd","Male","Adult","Died"
"483","3rd","Male","Adult","Died"
"484","3rd","Male","Adult","Died"
"485","3rd","Male","Adult","Died"
"486","3rd","Male","Adult","Died"
"487","3rd","Male","Adult","Died"
"488","3rd","Male","Adult","Died"
"489","3rd","Male","Adult","Died"
"490","3rd","Male","Adult","Died"
"491","3rd","Male","Adult","Died"
"492","3rd","Male","Adult","Died"
"493","3rd","Male","Adult","Died"
"494","3rd","Male","Adult","Died"
"495","3rd","Male","Adult","Died"
"496","3rd","Male","Adult","Died"
"497","3rd","Male","Adult","Died"
"498","3rd","Male","Adult","Died"
"499","3rd","Male","Adult","Died"
"500","3rd","Male","Adult","Died"
"501","3rd","Male","Adult","Died"
"502","3rd","Male","Adult","Died"
"503","3rd","Male","Adult","Died"
"504","3rd","Male","Adult","Died"
"505","3rd","Male","Adult","Died"
"506","3rd","Male","Adult","Died"
"507","3rd","Male","Adult","Died"
"508","3rd","Male","Adult","Died"
"509","3rd","Male","Adult","Died"
"510","3rd","Male","Adult","Died"
"511","3rd","Male","Adult","Died"
"512","3rd","Male","Adult","Died"
"513","3rd","Male","Adult","Died"
"514","3rd","Male","Adult","Died"
"515","3rd","Male","Adult","Died"
"516","3rd","Male","Adult","Died"
"517","3rd","Male","Adult","Died"
"518","3rd","Male","Adult","Died"
"519","3rd","Male","Adult","Died"
"520","3rd","Male","Adult","Died"
"521","3rd","Male","Adult","Died"
"522","3rd","Male","Adult","Died"
"523","3rd","Male","Adult","Died"
"524","3rd","Male","Adult","Died"
"525","3rd","Male","Adult","Died"
"526","3rd","Male","Adult","Died"
"527","3rd","Male","Adult","Died"
"528","3rd","Male","Adult","Died"
"529","3rd","Male","Adult","Died"
"530","3rd","Male","Adult","Died"
"531","3rd","Male","Adult","Died"
"532","3rd","Male","Adult","Died"
"533","3rd","Male","Adult","Died"
"534","3rd","Male","Adult","Died"
"535","3rd","Male","Adult","Died"
"536","3rd","Male","Adult","Died"
"537","3rd","Male","Adult","Died"
"538","3rd","Male","Adult","Died"
"539","3rd","Male","Adult","Died"
"540","3rd","Male","Adult","Died"
"541","3rd","Male","Adult","Died"
"542","3rd","Male","Adult","Died"
"543","3rd","Male","Adult","Died"
"544","3rd","Male","Adult","Died"
"545","3rd","Male","Adult","Died"
"546","3rd","Male","Adult","Died"
"547","3rd","Male","Adult","Died"
"548","3rd","Male","Adult","Died"
"549","3rd","Male","Adult","Died"
"550","3rd","Male","Adult","Died"
"551","3rd","Male","Adult","Died"
"552","3rd","Male","Adult","Died"
"553","3rd","Male","Adult","Died"
"554","3rd","Male","Adult","Died"
"555","3rd","Male","Adult","Died"
"556","3rd","Male","Adult","Died"
"557","3rd","Male","Adult","Died"
"558","3rd","Male","Adult","Died"
"559","3rd","Male","Adult","Died"
"560","3rd","Male","Adult","Died"
"561","3rd","Male","Adult","Died"
"562","3rd","Male","Adult","Died"
"563","3rd","Male","Adult","Died"
"564","3rd","Male","Adult","Died"
"565","3rd","Male","Adult","Died"
"566","3rd","Male","Adult","Died"
"567","3rd","Male","Adult","Died"
"568","3rd","Male","Adult","Died"
"569","3rd","Male","Adult","Died"
"570","3rd","Male","Adult","Died"
"571","3rd","Male","Adult","Died"
"572","3rd","Male","Adult","Died"
"573","3rd","Male","Adult","Died"
"574","3rd","Male","Adult","Died"
"575","3rd","Male","Adult","Died"
"576","3rd","Male","Adult","Died"
"577","3rd","Male","Adult","Died"
"578","3rd","Male","Adult","Died"
"579","3rd","Male","Adult","Died"
"580","3rd","Male","Adult","Died"
"581","3rd","Male","Adult","Died"
"582","3rd","Male","Adult","Died"
"583","3rd","Male","Adult","Died"
"584","3rd","Male","Adult","Died"
"585","3rd","Male","Adult","Died"
"586","3rd","Male","Adult","Died"
"587","3rd","Male","Adult","Died"
"588","3rd","Male","Adult","Died"
"589","3rd","Male","Adult","Died"
"590","3rd","Male","Adult","Died"
"591","3rd","Male","Adult","Died"
"592","3rd","Male","Adult","Died"
"593","3rd","Male","Adult","Died"
"594","3rd","Male","Adult","Died"
"595","3rd","Male","Adult","Died"
"596","3rd","Male","Adult","Died"
"597","3rd","Male","Adult","Died"
"598","3rd","Male","Adult","Died"
"599","3rd","Male","Adult","Died"
"600","3rd","Male","Adult","Died"
"601","3rd","Male","Adult","Died"
"602","3rd","Male","Adult","Died"
"603","3rd","Male","Adult","Died"
"604","3rd","Male","Adult","Died"
"605","3rd","Male","Adult","Died"
"606","3rd","Male","Adult","Died"
"607","3rd","Male","Adult","Died"
"608","3rd","Male","Adult","Died"
"609","3rd","Male","Adult","Died"
"610","3rd","Male","Adult","Died"
"611","3rd","Male","Adult","Died"
"612","3rd","Male","Adult","Died"
"613","3rd","Male","Adult","Died"
"614","3rd","Male","Adult","Died"
"615","3rd","Male","Adult","Died"
"616","3rd","Male","Adult","Died"
"617","3rd","Male","Adult","Died"
"618","3rd","Male","Adult","Died"
"619","3rd","Male","Adult","Died"
"620","3rd","Male","Adult","Died"
"621","3rd","Male","Adult","Died"
"622","3rd","Male","Adult","Died"
"623","3rd","Male","Adult","Died"
"624","3rd","Male","Adult","Died"
"625","3rd","Male","Adult","Died"
"626","3rd","Male","Adult","Died"
"627","3rd","Male","Adult","Died"
"628","3rd","Male","Adult","Died"
"629","3rd","Male","Adult","Died"
"630","3rd","Male","Adult","Died"
"631","3rd","Male","Adult","Died"
"632","3rd","Male","Adult","Died"
"633","3rd","Male","Adult","Died"
"634","3rd","Male","Adult","Died"
"635","3rd","Male","Adult","Died"
"636","3rd","Male","Adult","Died"
"637","3rd","Male","Adult","Died"
"638","3rd","Male","Adult","Died"
"639","3rd","Male","Adult","Died"
"640","3rd","Male","Adult","Died"
"641","3rd","Male","Adult","Died"
"642","3rd","Male","Adult","Died"
"643","3rd","Male","Adult","Died"
"644","3rd","Male","Adult","Died"
"645","3rd","Male","Adult","Died"
"646","3rd","Male","Adult","Died"
"647","3rd","Male","Adult","Died"
"648","3rd","Male","Adult","Died"
"649","3rd","Male","Adult","Died"
"650","3rd","Male","Adult","Died"
"651","3rd","Male","Adult","Died"
"652","3rd","Male","Adult","Died"
"653","3rd","Male","Adult","Died"
"654","3rd","Male","Adult","Died"
"655","3rd","Male","Adult","Died"
"656","3rd","Male","Adult","Died"
"657","3rd","Male","Adult","Died"
"658","3rd","Male","Adult","Died"
"659","3rd","Male","Adult","Died"
"660","3rd","Male","Adult","Died"
"661","3rd","Male","Adult","Died"
"662","3rd","Male","Adult","Died"
"663","3rd","Male","Adult","Died"
"664","3rd","Male","Adult","Died"
"665","3rd","Male","Adult","Died"
"666","3rd","Male","Adult","Died"
"667","3rd","Male","Adult","Died"
"668","3rd","Male","Adult","Died"
"669","3rd","Male","Adult","Died"
"670","3rd","Male","Adult","Died"
"671","3rd","Male","Adult","Died"
"672","3rd","Male","Adult","Died"
"673","3rd","Male","Adult","Died"
"674","3rd","Male","Adult","Died"
"675","3rd","Male","Adult","Died"
"676","3rd","Male","Adult","Died"
"677","3rd","Male","Adult","Died"
"678","3rd","Male","Adult","Died"
"679","3rd","Male","Adult","Died"
"680","3rd","Male","Adult","Died"
"681","3rd","Male","Adult","Died"
"682","3rd","Male","Adult","Died"
"683","3rd","Male","Adult","Died"
"684","3rd","Male","Adult","Died"
"685","3rd","Male","Adult","Died"
"686","3rd","Male","Adult","Died"
"687","3rd","Male","Adult","Died"
"688","3rd","Male","Adult","Died"
"689","3rd","Male","Adult","Died"
"690","3rd","Male","Adult","Died"
"691","3rd","Male","Adult","Died"
"692","3rd","Male","Adult","Died"
"693","3rd","Male","Adult","Died"
"694","3rd","Male","Adult","Died"
"695","3rd","Male","Adult","Died"
"696","3rd","Male","Adult","Died"
"697","3rd","Male","Adult","Died"
"698","3rd","Male","Adult","Died"
"699","3rd","Male","Adult","Died"
"700","3rd","Male","Adult","Died"
"701","3rd","Male","Adult","Died"
"702","3rd","Male","Adult","Died"
"703","3rd","Male","Adult","Died"
"704","3rd","Male","Adult","Died"
"705","3rd","Male","Adult","Died"
"706","3rd","Male","Adult","Died"
"707","3rd","Male","Adult","Died"
"708","3rd","Male","Adult","Died"
"709","3rd","Male","Adult","Died"
"710","3rd","Male","Adult","Died"
"711","3rd","Male","Adult","Died"
"712","Crew","Male","Adult","Died"
"713","Crew","Male","Adult","Died"
"714","Crew","Male","Adult","Died"
"715","Crew","Male","Adult","Died"
"716","Crew","Male","Adult","Died"
"717","Crew","Male","Adult","Died"
"718","Crew","Male","Adult","Died"
"719","Crew","Male","Adult","Died"
"720","Crew","Male","Adult","Died"
"721","Crew","Male","Adult","Died"
"722","Crew","Male","Adult","Died"
"723","Crew","Male","Adult","Died"
"724","Crew","Male","Adult","Died"
"725","Crew","Male","Adult","Died"
"726","Crew","Male","Adult","Died"
"727","Crew","Male","Adult","Died"
"728","Crew","Male","Adult","Died"
"729","Crew","Male","Adult","Died"
"730","Crew","Male","Adult","Died"
"731","Crew","Male","Adult","Died"
"732","Crew","Male","Adult","Died"
"733","Crew","Male","Adult","Died"
"734","Crew","Male","Adult","Died"
"735","Crew","Male","Adult","Died"
"736","Crew","Male","Adult","Died"
"737","Crew","Male","Adult","Died"
"738","Crew","Male","Adult","Died"
"739","Crew","Male","Adult","Died"
"740","Crew","Male","Adult","Died"
"741","Crew","Male","Adult","Died"
"742","Crew","Male","Adult","Died"
"743","Crew","Male","Adult","Died"
"744","Crew","Male","Adult","Died"
"745","Crew","Male","Adult","Died"
"746","Crew","Male","Adult","Died"
"747","Crew","Male","Adult","Died"
"748","Crew","Male","Adult","Died"
"749","Crew","Male","Adult","Died"
"750","Crew","Male","Adult","Died"
"751","Crew","Male","Adult","Died"
"752","Crew","Male","Adult","Died"
"753","Crew","Male","Adult","Died"
"754","Crew","Male","Adult","Died"
"755","Crew","Male","Adult","Died"
"756","Crew","Male","Adult","Died"
"757","Crew","Male","Adult","Died"
"758","Crew","Male","Adult","Died"
"759","Crew","Male","Adult","Died"
"760","Crew","Male","Adult","Died"
"761","Crew","Male","Adult","Died"
"762","Crew","Male","Adult","Died"
"763","Crew","Male","Adult","Died"
"764","Crew","Male","Adult","Died"
"765","Crew","Male","Adult","Died"
"766","Crew","Male","Adult","Died"
"767","Crew","Male","Adult","Died"
"768","Crew","Male","Adult","Died"
"769","Crew","Male","Adult","Died"
"770","Crew","Male","Adult","Died"
"771","Crew","Male","Adult","Died"
"772","Crew","Male","Adult","Died"
"773","Crew","Male","Adult","Died"
"774","Crew","Male","Adult","Died"
"775","Crew","Male","Adult","Died"
"776","Crew","Male","Adult","Died"
"777","Crew","Male","Adult","Died"
"778","Crew","Male","Adult","Died"
"779","Crew","Male","Adult","Died"
"780","Crew","Male","Adult","Died"
"781","Crew","Male","Adult","Died"
"782","Crew","Male","Adult","Died"
"783","Crew","Male","Adult","Died"
"784","Crew","Male","Adult","Died"
"785","Crew","Male","Adult","Died"
